204077926	1.0	13.083	0.249001
204862399	0.29	12.72	0.28
204107757	1.53	13.856	0.683
204269918	0.82	12.588	0.257
204229193	1.79	12.733	0.243
204442667	1.29	12.532	0.237
204849054	0.97	13.292	0.274
204066097	1.98	12.615	0.26
204238921	0.6	13.484	0.267
204594600	0.96	12.75	0.262
204367110	0.6	12.543	0.273999
204247509	0.98	12.551	0.282001
203574463	1.61	13.463	0.494
204769599	0.46	12.784	0.271999
204121833	1.55	13.398	0.267
204435603	0.52	12.913	0.240999
204054129	1.14	12.8	0.21
203708909	0.48	12.773	0.259
204258708	1.37	12.59	0.228
204178534	1.42	12.581	0.229
203629401	2.18	12.754	0.211
204417649	2.17	13.733	0.323
203514056	1.81	12.926	0.246
205164304	1.62	12.619	0.306
204909952	1.79	12.559	0.41
204878461	1.27	13.125	0.301
204832041	1.28	12.789	0.283
204397408	1.74	13.292	0.535001
204472612	0.6	12.624	0.242
205142340	1.51	13.997	0.329
205358744	1.02	13.444	0.249
204448136	1.72	12.669	0.240999
205092303	1.08	12.906	0.262
203581504	0.54	13.351	0.316
204756726	0.79	13.623	0.293
203362293	0.84	14.303	0.228
204769996	1.67	12.636	0.26
204783273	1.83	12.57	0.205999
203065387	1.37	12.692	0.25
204472125	2.07	12.708	0.521999
204538466	0.76	12.796	0.243999
204551703	0.95	12.626	0.274
203692610	1.12	12.683	0.283
204870669	1.66	12.803	0.256001
205241182	1.6	12.821	0.308001
204468732	1.7	12.88	0.542
204561327	4.26	13.661	0.313
204450240	1.85	13.038	0.290999
205355375	1.52	13.052	0.495
204365837	0.89	13.234	0.292999
204292655	1.87	12.539	0.439
205086621	0.73	13.483	0.266
204803505	1.16	12.834	0.269
205102553	1.36	13.05	0.225
204651122	1.71	13.454	0.282
204928499	1.33	12.711	0.307
204940701	1.46	12.925	0.276
204245943	0.77	12.936	0.256
205167772	1.68	12.792	0.573
204888409	1.89	12.588	0.438001
205082248	0.57	12.667	0.274
204259310	1.77	13.027	0.253
204247811	0.81	12.828	0.253
205097920	2.79	12.932	0.265
203534383	1.99	12.624	0.208
204299578	2.01	12.58	0.233
204548778	1.38	12.93	0.479
205198363	1.31	13.066	0.278
204621457	0.97	12.891	0.261
204467371	0.64	13.3	0.255
204199333	2.93	12.509	0.199
203710387	1.53	13.742	0.436
204099505	2.38	12.554	0.241
205596184	0.46	13.158	0.271001
203542463	0.71	12.719	0.217999
204435866	0.73	12.504	0.23
204260042	0.48	13.551	0.334001
204287798	0.46	12.637	0.18
203478236	1.32	12.628	0.238
