202632400	1.38	12.838	0.2313
203083616	0.65	13.983	0.561
203348744	4.29	13.288	0.525
203420271	1.28	13.005	0.24
203544427	1.12	12.712	0.287
204078097	1.41	12.635	0.3746
204099713	1.77	13.445	0.272
204126288	0.21	13.778	0.284
204149252	0.97	13.516	0.267
204202443	1.03	13.228	0.219
204204414	0.61	14.014	0.269
204239143	0.71	13.807	0.286
204344180	1.76	14.232	0.579
204367193	0.48	14.274	0.235
204393705	1.48	13.578	0.347
204418005	0.54	13.013	0.2654
204439854	0.6	13.336	0.2611
204451272	0.96	13.016	0.28
204555809	0.27	13.669	0.242
202795175	0.83	13.902	0.1932
203004488	1.35	13.332	0.2201
204250417	1.28	14.814	0.614
203590915	0.76	13.398	0.2463
249146655	0.38	13.816	0.2703
249202312	1.42	13.161	0.2521
