210640966 5.0 2.65  5 11.189 10.589 10.316 10.11  9.93  9.73 20.00
210674207 5.0 2.05  2 11.119 10.557 10.253 10.08  9.89  9.76 20.00
247548866 5.75 1.35 5 12.946 12.367 11.985 11.60 11.47 11.41 11.45 
247573157 4.0  9.57 5 11.801 10.500  9.924  9.54  9.39  9.32  9.31 
247575958 6.0  3.70 2 13.154 12.142 11.545 10.78 10.56 10.32  9.95 
247585465 4.5  2.45 2 11.616 10.830 10.530 10.03  9.64  9.36  8.47  
247588169 4.75 7.00 5 11.252 10.393  9.995  9.63  9.48  9.39  9.50
247591534 5.0  1.1  5 15.210 14.200 13.640 13.06 12.87 12.43 12.35
247600777 7.75 1.88 2 13.724 12.861 12.367 11.77 11.78 11.53 11.53 
247604448 7.5  5.46 2 13.754 12.762 12.169 11.59 11.37 11.38 11.31  
247630187 6.0  1.45 5 12.528 11.938 11.592 11.19 11.06 11.02 10.93
247739445 8.25 1.55 2 14.960 14.244 13.698 13.21 13.11 13.03 13.02  
247748412 7.75 3.30 5 12.335 11.691 11.327 10.92 10.78 10.84 10.69 
247766994 4.75  4.2 2  9.729  9.060  8.768  8.52  8.40  8.37  8.38 
247791556 6.0  1.05 5 10.862 10.140  9.726  9.30  9.27  9.12  9.10  
247820821 5.0  2.30 2 11.683 10.536  9.810  9.03  8.56  8.31  7.80
247932205 5.25 1.90 2 11.822 10.791 10.237  9.79  9.61  9.62  9.57  
247950452 8.75 1.40 2 14.640 13.850 13.330 12.69 12.56 12.47 12.45 
247953586 6.25 2.34 5 11.716 11.109 10.721 10.27 10.14 10.09 10.09
247968420 7.75 2.80 5 13.730 12.799 12.220 11.38 10.87 10.47  9.54 
247989075 5.5  1.45 5 10.585  9.828  9.559  9.29  9.24  9.23  9.27 
247991214 7.25 3.10 2 12.646 11.841 11.368 10.78 10.37 10.03  9.16
248015397 5.5  3.25 2 13.193 12.120 11.445 10.75 10.28  9.89  9.25
248021602 5.0  1.85 2 10.947 10.262  9.952  9.58  9.47  9.48  9.44
248023915 7.25 2.03 2 11.540 10.622 10.097  9.57  9.42  9.33  9.34
248030407 5.0  3.4  2 10.640  9.515  8.950  8.45  8.12  7.69  7.11 
248044306 8.5  1.35 2 14.990 14.200 13.690 13.09 12.73 12.41 11.54 
248060724 6.0  1.85 5 11.907 10.805 10.269  9.72  9.64  9.59  9.58  
